Compound,Assay,PoD,Activity,Business line,MoA,Code,Description,All_Inactive
Soraphen A,UL57_DNAdamage_Btg2_24h_48h_72h_EP_1,,inactive,Disease control,ACC,CSAA226599,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 24h,True
Soraphen A,UL57_DNAdamage_Btg2_24h_48h_72h_EP_2,,inactive,Disease control,ACC,CSAA226599,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
Soraphen A,UL57_DNAdamage_Btg2_24h_48h_72h_EP_3,,inactive,Disease control,ACC,CSAA226599,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
Soraphen A,UL58_DNAdamage_p21_24h_48h_72h_EP_1,,inactive,Disease control,ACC,CSAA226599,p21-GFP protein expression in the nucleus; PoD at timepoint 24h,True
Soraphen A,UL58_DNAdamage_p21_24h_48h_72h_EP_2,,inactive,Disease control,ACC,CSAA226599,p21-GFP protein expression in the nucleus; PoD at timepoint 48h,False
Soraphen A,UL58_DNAdamage_p21_24h_48h_72h_EP_3,,inactive,Disease control,ACC,CSAA226599,p21-GFP protein expression in the nucleus; PoD at timepoint 72h,False
Soraphen A,UL59_DNAdamage_p53_16h_48h_72h_EP_1,,inactive,Disease control,ACC,CSAA226599,p53-GFP protein expression in the nucleus; PoD at timepoint 16h,True
Soraphen A,UL59_DNAdamage_p53_16h_48h_72h_EP_2,,inactive,Disease control,ACC,CSAA226599,p53-GFP protein expression in the nucleus; PoD at timepoint 48h,False
Soraphen A,UL59_DNAdamage_p53_16h_48h_72h_EP_3,,inactive,Disease control,ACC,CSAA226599,p53-GFP protein expression in the nucleus; PoD at timepoint 72h,False
Soraphen A,UL60_DNAdamage_53bp1_16h_48h_72h_EP_1,,inactive,Disease control,ACC,CSAA226599,53bp1 foci count in the nucleus per cell; PoD at timepoint 24h,True
Soraphen A,UL60_DNAdamage_53bp1_16h_48h_72h_EP_2,,inactive,Disease control,ACC,CSAA226599,53bp1 foci count in the nucleus per cell; PoD at timepoint 48h,False
Soraphen A,UL61_ERstress_CHOP_16h_48h_72h_EP_1,-3.661165158,active,Disease control,ACC,CSAA226599,CHOP-GFP protein expression in the nucleus; PoD at timepoint 16h,False
Soraphen A,UL61_ERstress_CHOP_16h_48h_72h_EP_2,-3.667238464,active,Disease control,ACC,CSAA226599,CHOP-GFP protein expression in the nucleus; PoD at timepoint 48h,False
Soraphen A,UL61_ERstress_CHOP_16h_48h_72h_EP_3,-3.719148574,active,Disease control,ACC,CSAA226599,CHOP-GFP protein expression in the nucleus; PoD at timepoint 72h,False
Soraphen A,UL62_ERstress_BiP_24h_48h_72h_EP_1,-3.649267548,active,Disease control,ACC,CSAA226599,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
Soraphen A,UL62_ERstress_BiP_24h_48h_72h_EP_2,,inactive,Disease control,ACC,CSAA226599,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 48h,True
Soraphen A,UL62_ERstress_BiP_24h_48h_72h_EP_3,,inactive,Disease control,ACC,CSAA226599,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 72h,True
Soraphen A,UL63_INFstress_ICAM1_24h_48h_72h_EP_1,,inactive,Disease control,ACC,CSAA226599,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
Soraphen A,UL63_INFstress_ICAM1_24h_48h_72h_EP_2,-5.0,active,Disease control,ACC,CSAA226599,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
Soraphen A,UL63_INFstress_ICAM1_24h_48h_72h_EP_3,-5.0,active,Disease control,ACC,CSAA226599,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
Soraphen A,UL64_Autophagy_LC3_3h_6h_24h_EP_3,-3.673397908,active,Disease control,ACC,CSAA226599,LC3 foci count in the cytoplasm per cell; PoD at timepoint 24h,False
Soraphen A,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_1,-3.620875854,active,Disease control,ACC,CSAA226599,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
Soraphen A,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_2,-3.755055247,active,Disease control,ACC,CSAA226599,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
Soraphen A,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_3,-3.632010806,active,Disease control,ACC,CSAA226599,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
Soraphen A,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_1,,inactive,Disease control,ACC,CSAA226599,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
Soraphen A,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_2,,inactive,Disease control,ACC,CSAA226599,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
Soraphen A,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_3,,inactive,Disease control,ACC,CSAA226599,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
Soraphen A,VU_resazurin_24h,,inactive,Disease control,ACC,CSAA226599,cytotoxicity,False
Soraphen A,VU_resazurin_72h,-3.8239087409443187,active,Disease control,ACC,CSAA226599,cytotoxicity,False
Soraphen A,VU_seahorse,,inactive,Disease control,ACC,CSAA226599,mitotoxicity,False
SYN547520,BDS10a_metab_PPARa_ago_24h,,inactive,Weed control,ACC,CSCV768607,peroxisome proliferator activated receptor agonism,False
SYN547520,BDS10b_metab_PPARa_anta_24h,,inactive,Weed control,ACC,CSCV768607,peroxisome proliferator activated receptor antagonism,False
SYN547520,BDS11a_metab_PPARg_ago_24h,,inactive,Weed control,ACC,CSCV768607,peroxisome proliferator activated receptor agonism,False
SYN547520,BDS11b_metab_PPARg_anta_24h,,inactive,Weed control,ACC,CSCV768607,peroxisome proliferator activated receptor antagonism,True
SYN547520,BDS12a_metab_PPARd_ago_24h,,inactive,Weed control,ACC,CSCV768607,peroxisome proliferator activated receptor agonism,False
SYN547520,BDS12b_metab_PPARd_anta_24h,-4.2,active,Weed control,ACC,CSCV768607,peroxisome proliferator activated receptor antagonism,False
SYN547520,BDS13a_xenob_AhR_ago_24h,,inactive,Weed control,ACC,CSCV768607,aryl hydrocarbon receptor agonism,False
SYN547520,BDS14a_hypox_Hif1a_act_24h,,inactive,Weed control,ACC,CSCV768607,Hif1a pathway activation,False
SYN547520,BDS15a_Wnt_TCF_act_24h,,inactive,Weed control,ACC,CSCV768607,Wnt pathway activation,True
SYN547520,BDS15b_Wnt_TCF_inhib_24h,,inactive,Weed control,ACC,CSCV768607,Wnt pathway inhibition,True
SYN547520,BDS16a_regul_AP1_act_24h,,inactive,Weed control,ACC,CSCV768607,AP1 pathway activation,True
SYN547520,BDS17a_stres_ESRE_act_24h,-3.4,active,Weed control,ACC,CSCV768607,ESRE pathway activation,False
SYN547520,BDS1a_EDC_ERa_ago_24h,,inactive,Weed control,ACC,CSCV768607,estrogen receptor agonism,False
SYN547520,BDS1b_EDC_ERa_anta_24h,,inactive,Weed control,ACC,CSCV768607,estrogen receptor antagonism,True
SYN547520,BDS20a_geno_p21_act_24h,,inactive,Weed control,ACC,CSCV768607,p21 pathway activation,False
SYN547520,BDS21a_geno_p53_act_24h,,inactive,Weed control,ACC,CSCV768607,p53 pathway activation,False
SYN547520,BDS22a_tox_cytotox_act_24h,-3.2,active,Weed control,ACC,CSCV768607,cytotoxicity,False
SYN547520,BDS2a_EDC_AR_ago_24h,,inactive,Weed control,ACC,CSCV768607,androgen receptor agonism,True
SYN547520,BDS2b_EDC_AR_anta_24h,,inactive,Weed control,ACC,CSCV768607,androgen receptor antagonism,False
SYN547520,BDS3a_EDC_PR_ago_24h,,inactive,Weed control,ACC,CSCV768607,progesterone receptor agonism,True
SYN547520,BDS3b_EDC_PR_anta_24h,,inactive,Weed control,ACC,CSCV768607,progesterone receptor antagonism,False
SYN547520,BDS4a_EDC_GR_ago_24h,,inactive,Weed control,ACC,CSCV768607,glucocorticoid receptor agonism,True
SYN547520,BDS4b_EDC_GR_anta_24h,,inactive,Weed control,ACC,CSCV768607,glucocorticoid receptor antagonism,True
SYN547520,BDS5a_EDC_TRb_ago_24h,,inactive,Weed control,ACC,CSCV768607,thyroid hormone receptor agonism,True
SYN547520,BDS5b_EDC_TRb_anta_24h,,inactive,Weed control,ACC,CSCV768607,thyroid hormone receptor antagonism,True
SYN547520,BDS7a_repro_RAR_ago_24h,,inactive,Weed control,ACC,CSCV768607,retinoic acid receptor agonism,True
SYN547520,BDS7b_repro_RAR_anta_24h,,inactive,Weed control,ACC,CSCV768607,retinoic acid receptor antagonism,True
SYN547520,BDS8a_metab_LXR_ago_24h,,inactive,Weed control,ACC,CSCV768607,liver X receptor agonism,True
SYN547520,BDS8b_metab_LXR_anta_24h,,inactive,Weed control,ACC,CSCV768607,liver X receptor antagonism,True
SYN547520,BDS9a_xenob_PXR_ago_24h,-4.5,active,Weed control,ACC,CSCV768607,pregnane X receptor agonism,False
SYN547520,BDS9b_xenob_PXR_anta_24h,,inactive,Weed control,ACC,CSCV768607,pregnane X receptor antagonism,True
SYN547520,UKN2_migration,,inactive,Weed control,ACC,CSCV768607,number of migrated cells,False
SYN547520,UKN4a_DART_LUH_neurite_24h,,inactive,Weed control,ACC,CSCV768607,neurite area,False
SYN547520,UL53_OXstress_SRXN1_24h_48h_72h_EP_1,-3.78608399,active,Weed control,ACC,CSCV768607,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547520,UL53_OXstress_SRXN1_24h_48h_72h_EP_2,-3.87500698,active,Weed control,ACC,CSCV768607,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547520,UL53_OXstress_SRXN1_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547520,UL54_OXstress_HMOX1_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547520,UL54_OXstress_HMOX1_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCV768607,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547520,UL54_OXstress_HMOX1_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547520,UL55_OXstress_NRF2_3h_6h_24h_EP_1,,inactive,Weed control,ACC,CSCV768607,NRF2-GFP protein expression in the nucleus; PoD at timepoint 3h,False
SYN547520,UL55_OXstress_NRF2_3h_6h_24h_EP_2,,inactive,Weed control,ACC,CSCV768607,NRF2-GFP protein expression in the nucleus; PoD at timepoint 6h,False
SYN547520,UL55_OXstress_NRF2_3h_6h_24h_EP_3,,inactive,Weed control,ACC,CSCV768607,NRF2-GFP protein expression in the nucleus; PoD at timepoint 24h,False
SYN547520,UL56_OXstress_Keap1_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 16h,False
SYN547520,UL56_OXstress_Keap1_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCV768607,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 48h,False
SYN547520,UL56_OXstress_Keap1_16h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 72h,False
SYN547520,UL57_DNAdamage_Btg2_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 24h,True
SYN547520,UL57_DNAdamage_Btg2_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCV768607,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547520,UL57_DNAdamage_Btg2_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,Btg2-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547520,UL58_DNAdamage_p21_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,p21-GFP protein expression in the nucleus; PoD at timepoint 24h,True
SYN547520,UL58_DNAdamage_p21_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCV768607,p21-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN547520,UL58_DNAdamage_p21_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,p21-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN547520,UL59_DNAdamage_p53_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,p53-GFP protein expression in the nucleus; PoD at timepoint 16h,True
SYN547520,UL59_DNAdamage_p53_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCV768607,p53-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN547520,UL59_DNAdamage_p53_16h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,p53-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN547520,UL60_DNAdamage_53bp1_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,53bp1 foci count in the nucleus per cell; PoD at timepoint 24h,True
SYN547520,UL60_DNAdamage_53bp1_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCV768607,53bp1 foci count in the nucleus per cell; PoD at timepoint 48h,False
SYN547520,UL61_ERstress_CHOP_16h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,CHOP-GFP protein expression in the nucleus; PoD at timepoint 16h,False
SYN547520,UL61_ERstress_CHOP_16h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCV768607,CHOP-GFP protein expression in the nucleus; PoD at timepoint 48h,False
SYN547520,UL61_ERstress_CHOP_16h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,CHOP-GFP protein expression in the nucleus; PoD at timepoint 72h,False
SYN547520,UL62_ERstress_BiP_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547520,UL62_ERstress_BiP_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCV768607,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 48h,True
SYN547520,UL62_ERstress_BiP_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,BiP-GFP protein expression in the cytoplasm; PoD at timepoint 72h,True
SYN547520,UL63_INFstress_ICAM1_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547520,UL63_INFstress_ICAM1_24h_48h_72h_EP_2,-4.51812759,active,Weed control,ACC,CSCV768607,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547520,UL63_INFstress_ICAM1_24h_48h_72h_EP_3,-4.614930224,active,Weed control,ACC,CSCV768607,ICAM1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547520,UL64_Autophagy_LC3_3h_6h_24h_EP_3,,inactive,Weed control,ACC,CSCV768607,LC3 foci count in the cytoplasm per cell; PoD at timepoint 24h,False
SYN547520,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547520,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_2,-3.719148574,active,Weed control,ACC,CSCV768607,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547520,UL65_HeatShock_HSPA1B_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,HSPA1B-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547520,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCV768607,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN547520,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_2,,inactive,Weed control,ACC,CSCV768607,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN547520,UL66_HeavyMetal_MT1X_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCV768607,MT1X-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN547520,VU_resazurin_24h,,inactive,Weed control,ACC,CSCV768607,cytotoxicity,False
SYN547520,VU_resazurin_72h,,inactive,Weed control,ACC,CSCV768607,cytotoxicity,False
SYN547520,VU_seahorse,,inactive,Weed control,ACC,CSCV768607,mitotoxicity,False
SYN545504,BDS10a_metab_PPARa_ago_24h,,inactive,Weed control,ACC,CSCD573160,peroxisome proliferator activated receptor agonism,False
SYN545504,BDS10b_metab_PPARa_anta_24h,,inactive,Weed control,ACC,CSCD573160,peroxisome proliferator activated receptor antagonism,False
SYN545504,BDS11a_metab_PPARg_ago_24h,,inactive,Weed control,ACC,CSCD573160,peroxisome proliferator activated receptor agonism,False
SYN545504,BDS11b_metab_PPARg_anta_24h,,inactive,Weed control,ACC,CSCD573160,peroxisome proliferator activated receptor antagonism,True
SYN545504,BDS12a_metab_PPARd_ago_24h,,inactive,Weed control,ACC,CSCD573160,peroxisome proliferator activated receptor agonism,False
SYN545504,BDS12b_metab_PPARd_anta_24h,-5.0,active,Weed control,ACC,CSCD573160,peroxisome proliferator activated receptor antagonism,False
SYN545504,BDS13a_xenob_AhR_ago_24h,,inactive,Weed control,ACC,CSCD573160,aryl hydrocarbon receptor agonism,False
SYN545504,BDS14a_hypox_Hif1a_act_24h,,inactive,Weed control,ACC,CSCD573160,Hif1a pathway activation,False
SYN545504,BDS15a_Wnt_TCF_act_24h,,inactive,Weed control,ACC,CSCD573160,Wnt pathway activation,True
SYN545504,BDS15b_Wnt_TCF_inhib_24h,,inactive,Weed control,ACC,CSCD573160,Wnt pathway inhibition,True
SYN545504,BDS16a_regul_AP1_act_24h,,inactive,Weed control,ACC,CSCD573160,AP1 pathway activation,True
SYN545504,BDS17a_stres_ESRE_act_24h,,inactive,Weed control,ACC,CSCD573160,ESRE pathway activation,False
SYN545504,BDS1a_EDC_ERa_ago_24h,,inactive,Weed control,ACC,CSCD573160,estrogen receptor agonism,False
SYN545504,BDS1b_EDC_ERa_anta_24h,,inactive,Weed control,ACC,CSCD573160,estrogen receptor antagonism,True
SYN545504,BDS20a_geno_p21_act_24h,,inactive,Weed control,ACC,CSCD573160,p21 pathway activation,False
SYN545504,BDS21a_geno_p53_act_24h,,inactive,Weed control,ACC,CSCD573160,p53 pathway activation,False
SYN545504,BDS22a_tox_cytotox_act_24h,-4.5,active,Weed control,ACC,CSCD573160,cytotoxicity,False
SYN545504,BDS2a_EDC_AR_ago_24h,,inactive,Weed control,ACC,CSCD573160,androgen receptor agonism,True
SYN545504,BDS2b_EDC_AR_anta_24h,,inactive,Weed control,ACC,CSCD573160,androgen receptor antagonism,False
SYN545504,BDS3a_EDC_PR_ago_24h,,inactive,Weed control,ACC,CSCD573160,progesterone receptor agonism,True
SYN545504,BDS3b_EDC_PR_anta_24h,,inactive,Weed control,ACC,CSCD573160,progesterone receptor antagonism,False
SYN545504,BDS4a_EDC_GR_ago_24h,,inactive,Weed control,ACC,CSCD573160,glucocorticoid receptor agonism,True
SYN545504,BDS4b_EDC_GR_anta_24h,,inactive,Weed control,ACC,CSCD573160,glucocorticoid receptor antagonism,True
SYN545504,BDS5a_EDC_TRb_ago_24h,,inactive,Weed control,ACC,CSCD573160,thyroid hormone receptor agonism,True
SYN545504,BDS5b_EDC_TRb_anta_24h,,inactive,Weed control,ACC,CSCD573160,thyroid hormone receptor antagonism,True
SYN545504,BDS7a_repro_RAR_ago_24h,,inactive,Weed control,ACC,CSCD573160,retinoic acid receptor agonism,True
SYN545504,BDS7b_repro_RAR_anta_24h,,inactive,Weed control,ACC,CSCD573160,retinoic acid receptor antagonism,True
SYN545504,BDS8a_metab_LXR_ago_24h,,inactive,Weed control,ACC,CSCD573160,liver X receptor agonism,True
SYN545504,BDS8b_metab_LXR_anta_24h,,inactive,Weed control,ACC,CSCD573160,liver X receptor antagonism,True
SYN545504,BDS9a_xenob_PXR_ago_24h,-5.8,active,Weed control,ACC,CSCD573160,pregnane X receptor agonism,False
SYN545504,BDS9b_xenob_PXR_anta_24h,,inactive,Weed control,ACC,CSCD573160,pregnane X receptor antagonism,True
SYN545504,UKN2_migration,-4.5,active,Weed control,ACC,CSCD573160,number of migrated cells,False
SYN545504,UKN4a_DART_LUH_neurite_24h,-4.1,active,Weed control,ACC,CSCD573160,neurite area,False
SYN545504,UL53_OXstress_SRXN1_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
SYN545504,UL53_OXstress_SRXN1_24h_48h_72h_EP_2,-4.739690054,active,Weed control,ACC,CSCD573160,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
SYN545504,UL53_OXstress_SRXN1_24h_48h_72h_EP_3,,inactive,Weed control,ACC,CSCD573160,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
SYN545504,UL54_OXstress_HMOX1_24h_48h_72h_EP_1,,inactive,Weed control,ACC,CSCD573160,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
